Total Water Withdrawals (bcm),GDP (current US$),Agriculture Water Withdrawals (%),Water Stress Level (%),Domestic Water Withdrawals (%),Water Productivity (2015 US$ GDP per cubic meter),Average Precipitation (mm per year),Renewable Internal Water Resources (bcm),Industry Water Withdrawals (%),Total Population,Year,Country
0.818,11832159276,51.43031785,7.820267686,45.91687042,14.46474239,748,12.5,2.652811736,18718019,2015,Burkina Faso
30.20453326,1.89805E+11,86.1680833,5.626775943,5.615018379,6.284000458,1738,1641,8.216898324,30711863,2015,Peru
74.07022222,2.77239E+11,88.37940057,18.81100727,3.85450744,3.148466289,1522,885,7.76609199,17509925,2013,Chile
0.2752,23956163077,18.37304848,1.621685327,60.74774035,83.55335591,667,16.94,20.87921118,2097555,2010,Latvia
9.923,5707720391,58.20132244,43.81982778,7.249445654,1.319953828,447,8.115,34.54923191,8111200,2001,Azerbaijan
0.1459,949000000,8.430431803,0.264311594,54.96915696,12.21003092,2391,200,36.60041124,3266318,2005,Liberia
1.0944,35297794386,5.116959064,4.709122203,38.00255848,47.36667062,824,12.6,56.88048246,5376912,2002,Slovak Republic
67.405375,2.47281E+12,55.83506224,3.187015366,24.50355661,27.58083793,1761,5661,19.66138115,201721767,2013,Brazil
11.9338,1.90905E+11,8.512012668,41.30771893,18.32296311,23.84087797,600,53.6,73.16502422,38248076,2001,Poland
0.0122,957040740.7,1.282051282,50.83333333,98.71794872,78.44596236,1427,0.024,0,47790,2015,St. Kitts and Nevis
4.7708,33122307692,82.84789644,681.5428571,14.10078595,13.86338472,56,0.7,3.051317614,5687563,2004,Libya
5.705333333,85285062818,11.61558922,9.853770869,14.40962183,18.20835521,589,6,73.97478894,10129552,2003,Hungary
4.0048,2.5829E+11,11.66126751,9.496798672,17.4238772,58.99190942,536,107,70.9148553,5413971,2012,Finland
12.8745,1.82592E+11,31.89320758,16.68113501,22.26363429,8.710904243,565,55.1,45.84315813,45593342,2012,Ukraine
583.2,5.1017E+12,63.51074719,42.59359343,12.76015012,11.7076352,645,2812.9,23.7291027,1331260000,2009,China
222.635,1.01562E+12,85.2067285,29.69654528,10.69014306,4.267171365,2702,2018.7,4.103128439,264498852,2017,Indonesia
14.22292308,3.33075E+11,61.99447239,45.54250105,28.45799236,20.92995538,495,44.8,9.547535249,49996094,2007,South Africa
7.707,6197766119,92.68929504,50.03895598,2.924281984,0.723627951,533,48.93,4.386422977,5514600,2011,Kyrgyz Republic
1.4711,1777058593,92.42413957,14.45372372,5.681895323,2.3309596,92,0.4,1.893965108,2821703,2002,Mauritania
3.402,20548678070,79.98941706,31.93766429,17.61766176,5.920922817,657,12.26,2.392921187,14452704,2016,Zimbabwe
2,6.8642E+11,7.985833998,7.627765065,59.95610535,327.7309018,1537,40.4,32.05806065,7996861,2012,Switzerland
19.87317375,3.70921E+11,67.43111361,2.97502601,17.86702773,13.05591185,3240,2145,14.70185866,45782417,2012,Colombia
0.4296,11619892396,61.61545624,3.154185022,17.43482309,27.04816666,241,34.8,20.94972067,2964749,2015,Mongolia
64.61,1.91695E+12,58.13593436,1.422501101,26.10311194,27.82447,1761,5661,15.76095371,210166592,2018,Brazil
9.507666667,2.40964E+11,89.34685645,19.23460786,8.991816435,25.48548702,652,58,1.661327119,10955141,2004,Greece
1.41,60905452536,86.90886314,100.7142857,8.268086439,41.25046092,125,1.4,4.823050423,2651028,2008,Oman
1.34428,3208837077,86.73788199,17.34331054,9.945844616,2.493725805,1181,16.14,3.316273395,12087965,2003,Malawi
90.4,4.96836E+12,63.29057939,41.56321839,19.23927466,44.10127815,1668,430,17.47014595,126843000,2000,Japan
1.401785714,12120460873,34.6097282,12.95191457,25.16476932,9.946125072,2051,10.823,40.22550248,2722401,2009,Jamaica
