Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,Africa Eastern and Southern,AFE,9.36606403256023,9.36057569890896,8.78482779990271,8.7856684528785,9.07490237603097,9.44072148107389,9.96103066411207,10.5319722023332,10.8387244495795,10.8575546857728,11.3194603876729,11.7969552323739,9.43967032686525,9.60071463736366,9.71921152790709,9.73984431738217,9.76472038652519,9.99400947696818,10.1573564670322,10.3604395958648
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,Africa Western and Central,AFW,12.4830148910475,12.6952695769778,13.5844836634713,14.1221060251795,15.030846175553,15.6428773722145,16.3221794029022,17.0710804848034,17.9808350726243,18.941484420934,20.0821490127478,20.9953940570427,22.0078717869578,23.291216949007,24.6071710607493,25.0115108449875,24.9770809235835,25.6586182197935,25.2391833253065,25.8929322905731
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,Arab World,ARB,6.91417847722241,6.94355704740393,6.8866907886195,7.29795281286015,7.96059648232284,8.37226335029343,8.83882407275325,9.25886586604235,9.80469676818625,9.88285203204543,10.380249152192,10.9616983392478,10.6045421788362,10.7757584169015,11.81428160967,12.3894343474962,12.6213379872089,11.5177059417965,12.2561296665097,11.2543873077951
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,Caribbean small states,CSS,10.018098580017,10.1997462770161,10.5745490698408,11.339456739762,11.8324233677979,12.5512318952413,13.5263208583576,14.2839651849858,14.4998233922339,13.9663933963695,14.1078565645391,14.1537405302339,14.6678424818898,14.8912562447105,15.1092600386656,18.2343283844365,15.5457609439077,15.3772304527479,15.5657611751323,15.7433084342541
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,Central Europe and the Baltics,CEB,17.5097843992594,18.7574063319978,20.393620597104,21.6455907582073,23.7913387720487,25.7263246672192,28.0727109768768,28.7799982914698,30.427074484729,29.518542072302,32.0799606371339,32.0767248261155,33.9534310044766,34.4456536556707,38.4294079666374,39.7787645565299,41.1267582813481,41.9739215989439,45.52269001941,49.367203259643
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,Early-demographic dividend,EAR,3.42189082512106,3.40322416122695,3.3859083726682,3.51033032186542,3.77002513540392,3.94268013216748,4.04175577358251,4.21756774436184,4.34011725856907,4.33648232343668,4.57198482986534,4.78192817513652,4.9150808982513,5.10441726991802,5.27139330494997,5.43157862605038,5.62198702824994,5.78474454140024,5.99860641712484,6.19241275460989
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,East Asia & Pacific,EAS,10.1752260314535,10.446309574731,10.8202872602961,11.2499170599497,11.7699909963253,12.3169882252314,12.0657813097367,12.499198937777,12.9111866244025,13.1385687808637,13.9884269999177,14.5448382071854,15.1296605861533,15.7334250342925,16.5177077345005,17.359212209628,18.0568676798518,18.8935915421442,19.7965765749215,20.7592077607982
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,East Asia & Pacific (excluding high income),EAP,4.43416056466718,4.70323919357636,5.03525211186625,5.43448190410687,5.86756347009266,6.38917316377574,6.56096713810721,7.21982256553956,7.72075534143276,8.22800359133284,8.93465281083942,9.55830924645605,10.1739418073499,10.8001181038955,11.5773237734294,12.2664657475923,12.9821177563309,13.7959943847357,14.6915392063657,15.6306010706159
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,East Asia & Pacific (IDA & IBRD countries),TEA,4.43416056466718,4.70323919357636,5.03525211186625,5.43448190410687,5.86756347009266,6.38917316377574,6.56096713810721,7.21982256553956,7.72075534143276,8.22800359133285,8.93465281083942,9.55830924645605,10.17394180735,10.8001181038955,11.5773237734294,12.2664657475924,12.9821177563309,13.7959943847357,14.6915392063657,15.6306010706159
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,Euro area,EMU,47.725849112608,49.4717680849273,50.5460462719514,51.1048185876031,52.4979616717612,54.0610988767772,57.904110145534,62.1380301306713,57.2394985984231,60.3608528628998,62.227702725747,64.4073388344667,64.8855312032726,68.1021816925747,69.8706192441999,72.646249121889,75.2235663598869,78.5888296733472,80.0694944279834,81.407596410968
